,Unnamed: 0_x,Year_x,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Country,ISO,Region,Continent,End Year,Total Deaths,VariableGroup,Subgroup,Variable,Year_y,Value_x,Unit,Symbol,Unnamed: 0_y,COUB,Place of birth,Education level,Age,Sex,Country of residence,Value_y
0,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,510,ETH,Foreign-born,ISCED 3/4,25-64 years,Women,OECD - Total,22763
1,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,513,ETH,All places of birth,ISCED 3/4,25-64 years,Women,OECD - Total,22763
2,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,516,ETH,Foreign-born,Unknown education,25-64 years,Women,OECD - Total,1210
3,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,519,ETH,All places of birth,Unknown education,25-64 years,Women,OECD - Total,1210
4,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,522,ETH,Foreign-born,ISCED 0/1/2,25-64 years,Women,OECD - Total,12976
5,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,525,ETH,All places of birth,ISCED 0/1/2,25-64 years,Women,OECD - Total,12976
6,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,528,ETH,Foreign-born,ISCED 5/6,25-64 years,Women,OECD - Total,13053
7,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,531,ETH,All places of birth,ISCED 5/6,25-64 years,Women,OECD - Total,13053
8,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,534,ETH,Foreign-born,All levels of education,25-64 years,Women,OECD - Total,50002
9,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,537,ETH,All places of birth,All levels of education,25-64 years,Women,OECD - Total,50002
10,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1944,ETH,Foreign-born,ISCED 3/4,15-24 years,Women,OECD - Total,4995
11,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1947,ETH,All places of birth,ISCED 3/4,15-24 years,Women,OECD - Total,4995
12,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1950,ETH,Foreign-born,Unknown education,15-24 years,Women,OECD - Total,558
13,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1953,ETH,All places of birth,Unknown education,15-24 years,Women,OECD - Total,558
14,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1956,ETH,Foreign-born,ISCED 0/1/2,15-24 years,Women,OECD - Total,3919
15,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1959,ETH,All places of birth,ISCED 0/1/2,15-24 years,Women,OECD - Total,3919
16,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1962,ETH,Foreign-born,ISCED 5/6,15-24 years,Women,OECD - Total,935
17,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1965,ETH,All places of birth,ISCED 5/6,15-24 years,Women,OECD - Total,935
18,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1968,ETH,Foreign-born,All levels of education,15-24 years,Women,OECD - Total,10407
19,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,1971,ETH,All places of birth,All levels of education,15-24 years,Women,OECD - Total,10407
20,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3378,ETH,Foreign-born,ISCED 3/4,65+ years,Women,OECD - Total,359
21,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3381,ETH,All places of birth,ISCED 3/4,65+ years,Women,OECD - Total,359
22,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3384,ETH,Foreign-born,Unknown education,65+ years,Women,OECD - Total,107
23,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3387,ETH,All places of birth,Unknown education,65+ years,Women,OECD - Total,107
24,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3390,ETH,Foreign-born,ISCED 0/1/2,65+ years,Women,OECD - Total,1329
25,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3393,ETH,All places of birth,ISCED 0/1/2,65+ years,Women,OECD - Total,1329
26,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3396,ETH,Foreign-born,ISCED 5/6,65+ years,Women,OECD - Total,205
27,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3399,ETH,All places of birth,ISCED 5/6,65+ years,Women,OECD - Total,205
28,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3402,ETH,Foreign-born,All levels of education,65+ years,Women,OECD - Total,2000
29,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,3405,ETH,All places of birth,All levels of education,65+ years,Women,OECD - Total,2000
30,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4794,ETH,Foreign-born,ISCED 3/4,All ages,Women,OECD - Total,28117
31,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4797,ETH,All places of birth,ISCED 3/4,All ages,Women,OECD - Total,28117
32,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4800,ETH,Foreign-born,Unknown education,All ages,Women,OECD - Total,1875
33,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4803,ETH,All places of birth,Unknown education,All ages,Women,OECD - Total,1875
34,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4806,ETH,Foreign-born,ISCED 0/1/2,All ages,Women,OECD - Total,18224
35,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4809,ETH,All places of birth,ISCED 0/1/2,All ages,Women,OECD - Total,18224
36,13285,2016,101,Natural,Hydrological,Flood,Ethiopia,ETH,Eastern Africa,Africa,2016,28.0,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,2020,32.26,%,E,4812,ETH,Foreign-born,ISCED 5/6,All ages,Women,OECD - Total,14193
